"FOAFGroup"|"foafGroupName"|"FOAFPerson"|"foafPersonName"|"foafPersonHomepage"|"foafPersonMember"|"BIBOJournal"|"BIBOJournalName"|"BIBOJournalISSN"|"BIBTEXArticle"|"BIBTEXArticleHasAuthor"|"BIBTEXArticleTitle"|"BIBTEXArticleHasJournal"|"BIBTEXArticleHasVolume"|"BIBTEXArticleHasNumber"|"BIBTEXArticleHasPages"|"BIBTEXArticleHasYear"|"DCContributor"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_2468775531941125"|"LUIZ ALFREDO BRAUN FERREIRA"|"http://lattes.cnpq.br/2468775531941125"|"FOAFGroup_DEFISIO_G"|"Journal_0103-5150"|"Fisioterapia em Movimento (PUCPR. Impresso)"|"0103-5150"|"BIBTEXArticle_Influência_da_diatermia_por_Microondas_na_força_dos_músculos_flexores_do_cotovelo_e_na_atividade_eletromiográfica_do_músculo_Bíceps_Braquial.0103-51502008"|"Pereira, W.M., FERREIRA, L. A. B.;Braun Ferreira, Luiz Alfredo;Ferreira, Luiz Alfredo Braun;Braun, Luiz Alfredo Ferreira, Vieira, F. F., Rossi, L. P."|"Influência da diatermia por Microondas na força dos músculos flexores do cotovelo e na atividade eletromiográfica do músculo Bíceps Braquial."|"Journal_0103-5150"|"21"|"3"|"27-35"|"2008"|"FOAFPerson_2468775531941125"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_0942648139655127"|"LUCIANO PAVAN ROSSI"|"http://lattes.cnpq.br/0942648139655127"|"FOAFGroup_DEFISIO_G"|"Journal_0103-5150"|"Fisioterapia em Movimento (PUCPR. Impresso)"|"0103-5150"|"BIBTEXArticle_Influência_da_diatermia_por_microondas_na_força_dos_músculos_flexores_do_cotovelo_e_na_atividade_eletromiográfica_do_músculo_bíceps_braquial0103-51502008"|"PEREIRA, W. M., FERREIRA, Luiz Alfredo Braun, VIEIRA Fabricio Furtado, ROSSI, Luciano Pavan;Rossi, Luciano Pavan"|"Influência da diatermia por microondas na força dos músculos flexores do cotovelo e na atividade eletromiográfica do músculo bíceps braquial"|"Journal_0103-5150"|"21"|"3"|"27-35"|"2008"|"FOAFPerson_0942648139655127"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_0942648139655127"|"LUCIANO PAVAN ROSSI"|"http://lattes.cnpq.br/0942648139655127"|"FOAFGroup_DEFISIO_G"|"Journal_1677-5937"|"Terapia Manual"|"1677-5937"|"BIBTEXArticle_Influência_da_diatermia_por_microondas_no_pico_de_força_eletromiográfico_dos_músculos_flexores_do_cotovelo1677-59372009"|"PEREIRA, W. M., PAULA Jr., Alderico Rodrigues, FERREIRA, Luiz Alfredo Braun, VIEIRA Fabricio Furtado, ROSSI, Luciano Pavan;Rossi, Luciano Pavan"|"Influência da diatermia por microondas no pico de força eletromiográfico dos músculos flexores do cotovelo"|"Journal_1677-5937"|"7"|"29"|"06-10"|"2009"|"FOAFPerson_0942648139655127"
"FOAFGroup_DEF_I"|"DEF/I"|"FOAFPerson_1280835655867163"|"EDUARDO DA SILVA LOPES"|"http://lattes.cnpq.br/1280835655867163"|"FOAFGroup_DEF_I"|"Journal_2317-2606"|"Enciclopédia Biosfera"|"2317-2606"|"BIBTEXArticle_Influência_da_distância_de_guinchamento_e_de_extração_na_produtividade_de_um_sistema_de_cabos_aéreos_em_região_montanhosa2317-26062013"|"LOPES, E. S., RUDEK, A., OLIVEIRA, D., BOLDRINI, S."|"Influência da distância de guinchamento e de extração na produtividade de um sistema de cabos aéreos em região montanhosa"|"Journal_2317-2606"|"9"|"17"|"1696-1704"|"2013"|"FOAFPerson_1280835655867163"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_2047518882892842"|"ANDERSOM RICARDO FREZ"|"http://lattes.cnpq.br/2047518882892842"|"FOAFGroup_DEFISIO_G"|"Journal_1677-1028"|"ConScientiae Saúde (Impresso)"|"1677-1028"|"BIBTEXArticle_Influência_da_fisioterapia_respiratória_pré-operatória_na_cirurgia_de_revascularização_do_miocárdio1677-10282012"|"Hinterholz, Rosirema, Silva, Magda Sueli Lopes Cassiano da, Assis, Regiane Lilian Caetano, Fréz, Andersom Ricardo, Mora, Cintia Teixeira Rossato, Riedi, Christiane"|"Influência da fisioterapia respiratória pré-operatória na cirurgia de revascularização do miocárdio"|"Journal_1677-1028"|"11"|"1"|"142-148"|"2012"|"FOAFPerson_2047518882892842"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_3756162727804552"|"CHRISTIANE RIEDI DANIEL"|"http://lattes.cnpq.br/3756162727804552"|"FOAFGroup_DEFISIO_G"|"Journal_1677-1028"|"ConScientiae Saúde (Impresso)"|"1677-1028"|"BIBTEXArticle_Influência_da_fisioterapia_respiratória_pré-operatória_na_cirurgia_de_revascularização_do_miocárdio1677-10282012"|"ASSIS, R. L. C., FREZ, A. R., Hinterholz, Rosirema, MORA, C. T. R., Riedi, Christiane, Slva, Magda S L C"|"Influência da fisioterapia respiratória pré-operatória na cirurgia de revascularização do miocárdio"|"Journal_1677-1028"|"11"|"1"|"142-148"|"2012"|"FOAFPerson_3756162727804552"
"FOAFGroup_DEAGRO_G"|"DEAGRO/G"|"FOAFPerson_4985215075940551"|"LUCIANO FARINHA WATZLAWICK"|"http://lattes.cnpq.br/4985215075940551"|"FOAFGroup_DEAGRO_G"|"Journal_0100-6762"|"Revista Árvore (Impresso)"|"0100-6762"|"BIBTEXArticle_Influência_da_floresta_alterada_na_distribuição_espacial_de_três_espécies_da_Floresta_Ombrófila_Mista_avaliada_pela_geoestatística0100-67622013"|"AMARAL, Lúcio de Paula, FERREIRA, REGIANE APARECIDA, WATZLAWICK, L. F.;Watzlawick, Luciano Farinha;WATZLAWICK, LONGHI, S. J., SEBEM, ELÓDIO"|"Influência da floresta alterada na distribuição espacial de três espécies da Floresta Ombrófila Mista avaliada pela geoestatística"|"Journal_0100-6762"|"37"|"3"|"491-501"|"2013"|"FOAFPerson_4985215075940551"
"FOAFGroup_DEALI_G"|"DEALI/G"|"FOAFPerson_2592077234468128"|"OSMAR ROBERTO DALLA SANTA"|"http://lattes.cnpq.br/2592077234468128"|"FOAFGroup_DEALI_G"|"Journal_1808-0251"|"Ambiência (UNICENTRO)"|"1808-0251"|"BIBTEXArticle_Influência_da_inoculação_de_Azospirillum_sp._em_trigo,_cevada_e_aveia1808-02512008"|"DALLA SANTA, O. R.;Dalla-Santa, Osmar R.;Digite o nome em citação e pressione a tecla ENTER;O.R. Dalla-Santa;DALLA-SANT, O.R.;DALLA SANTA, OSMAR R., DALLA SANTA, H. S., HERNANDEZ, R. F., ALVAREZ, G. L. M., RONZELLI JUNIOR, P., SOCCOL, C. R."|"Influência da inoculação de Azospirillum sp. em trigo, cevada e aveia"|"Journal_1808-0251"|"4"|""|"2-"|"2008"|"FOAFPerson_2592077234468128"
"FOAFGroup_DEDUF_G"|"DEDUF/G"|"FOAFPerson_8371394876016588"|"THIAGO EMANNUEL MEDEIROS"|"http://lattes.cnpq.br/8371394876016588"|"FOAFGroup_DEDUF_G"|"Journal_1984-4956"|"Revista Brasileira de Futsal e Futebol"|"1984-4956"|"BIBTEXArticle_Influência_da_maturação,_estatura_e_soma_de_dobras_cutâneas_na_força_de_membros_inferiores_em_adolescentes_praticantes_de_futsal1984-49562014"|"HOFFMANN, J. K., TOZETTO, A. V. B., MILISTETD, M., MEDEIROS, T. E., IGNACHEWSKI, W. L."|"Influência da maturação, estatura e soma de dobras cutâneas na força de membros inferiores em adolescentes praticantes de futsal"|"Journal_1984-4956"|"6"|"21"|"202-210"|"2014"|"FOAFPerson_8371394876016588"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_2468775531941125"|"LUIZ ALFREDO BRAUN FERREIRA"|"http://lattes.cnpq.br/2468775531941125"|"FOAFGroup_DEFISIO_G"|"Journal_1677-5937"|"Terapia Manual"|"1677-5937"|"BIBTEXArticle_Influência_da_mobilização_do_sistema_nervoso_autônomo_parassimpático_em_indivíduos_com_insônia1677-59372012"|"Moura, A. S, PEREIRA, W. M., FURMANN, M., Kerppers, I. I., FERREIRA, L. A. B.;Braun Ferreira, Luiz Alfredo;Ferreira, Luiz Alfredo Braun;Braun, Luiz Alfredo Ferreira"|"Influência da mobilização do sistema nervoso autônomo parassimpático em indivíduos com insônia"|"Journal_1677-5937"|"10"|"50"|"517-522"|"2012"|"FOAFPerson_2468775531941125"
