"FOAFGroup"|"foafGroupName"|"FOAFPerson"|"foafPersonName"|"foafPersonHomepage"|"foafPersonMember"|"BIBOJournal"|"BIBOJournalName"|"BIBOJournalISSN"|"BIBTEXArticle"|"BIBTEXArticleHasAuthor"|"BIBTEXArticleTitle"|"BIBTEXArticleHasJournal"|"BIBTEXArticleHasVolume"|"BIBTEXArticleHasNumber"|"BIBTEXArticleHasPages"|"BIBTEXArticleHasYear"|"DCContributor"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_4118080575391433"|"DANIELLE BRANDALIZE"|"http://lattes.cnpq.br/4118080575391433"|"FOAFGroup_DEFISIO_G"|"Journal_1360-8592"|"Journal of Bodywork and Movement Therapies"|"1360-8592"|"BIBTEXArticle_Analysis_of_electromyographic_activity_in_spastic_biceps_brachii_muscle_following_neural_mobilization1360-85922012"|"CASTILHO, J., FERREIRA, L. A. B., PEREIRA, M.W., PASINI, H., MRELLI, J.G.S., BRANDALIZE, D., KERPPPERS, I.I., OLIVEIRA, C.S."|"Analysis of electromyographic activity in spastic biceps brachii muscle following neural mobilization"|"Journal_1360-8592"|"x"|"x"|"x-x"|"2012"|"FOAFPerson_4118080575391433"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_8017182503178007"|"WAGNER MENNA PEREIRA"|"http://lattes.cnpq.br/8017182503178007"|"FOAFGroup_DEFISIO_G"|"Journal_1360-8592"|"Journal of Bodywork and Movement Therapies"|"1360-8592"|"BIBTEXArticle_Analysis_of_electromyographic_activity_in_spastic_biceps_brachii_muscle_following_neural_mobilization1360-85922012"|"CASTILHO, A. J, PEREIRA, W. M., Ferreira, L. A, NETO, HUGO PASINI, Morelli, José Geraldo da Silva, Brandalize Daniele, Kerppers, I. I., Oliveira, Claudia Santos"|"Analysis of electromyographic activity in spastic biceps brachii muscle following neural mobilization"|"Journal_1360-8592"|"16"|"1"|"x-x"|"2012"|"FOAFPerson_8017182503178007"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_8017182503178007"|"WAGNER MENNA PEREIRA"|"http://lattes.cnpq.br/8017182503178007"|"FOAFGroup_DEFISIO_G"|"Journal_1360-8592"|"Journal of Bodywork and Movement Therapies"|"1360-8592"|"BIBTEXArticle_Analysis_of_electromyographic_activity_of_ankle_muscles_on_stable_and_unstable_surfaces_with_eyes_open_and_closed1360-85922010"|"Ferreira, L. A, PEREIRA, W. M., ROSSI, L. P., Kerppers, I. I., De Paula A. R., D.C Oliveira"|"Analysis of electromyographic activity of ankle muscles on stable and unstable surfaces with eyes open and closed"|"Journal_1360-8592"|"14"|""|"1-6"|"2010"|"FOAFPerson_8017182503178007"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_0942648139655127"|"LUCIANO PAVAN ROSSI"|"http://lattes.cnpq.br/0942648139655127"|"FOAFGroup_DEFISIO_G"|"Journal_1360-8592"|"Journal of Bodywork and Movement Therapies"|"1360-8592"|"BIBTEXArticle_Analysis_of_electromyographic_activity_of_ankle_muscles_on_stable_and_unstable_surfaces_with_eyes_open_and_closed?1360-85922010"|"Braun Ferreira, Luiz Alfredo, Pereira, Wagner Menna, Rossi, Luciano Pavan, Kerpers, Ivo Ilvan, Rodrigues de Paula Jr., Alderico, Oliveira, Claudia Santos"|"Analysis of electromyographic activity of ankle muscles on stable and unstable surfaces with eyes open and closed?"|"Journal_1360-8592"|""|""|"xx-xx"|"2010"|"FOAFPerson_0942648139655127"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_2468775531941125"|"LUIZ ALFREDO BRAUN FERREIRA"|"http://lattes.cnpq.br/2468775531941125"|"FOAFGroup_DEFISIO_G"|"Journal_1360-8592"|"Journal of Bodywork and Movement Therapies"|"1360-8592"|"BIBTEXArticle_Analysis_of_electromyographic_activity_of_ankle_muscles_on_stable_and_unstable_surfaces_with_eyes_open_and_closedâ1360-85922010"|"Braun Ferreira, Luiz Alfredo, Pereira, Wagner Menna, Rossi, Luciano Pavan, Kerpers, Ivo Ilvan, Rodrigues de Paula Jr., Alderico, Oliveira, Claudia Santos"|"Analysis of electromyographic activity of ankle muscles on stable and unstable surfaces with eyes open and closedâ"|"Journal_1360-8592"|"15"|""|"496-501"|"2010"|"FOAFPerson_2468775531941125"
"FOAFGroup_DEDUF_G"|"DEDUF/G"|"FOAFPerson_6754813859281072"|"BRUNO SERGIO PORTELA"|"http://lattes.cnpq.br/6754813859281072"|"FOAFGroup_DEDUF_G"|"Journal_0022-4456"|"Journal of Scientific & Industrial Research (1963)"|"0022-4456"|"BIBTEXArticle_Analysis_of_factors_that_influence_noise_levels_inside_urban_buses0022-44562010"|"PORTELA, B. S., ZANNIN, P. H. T."|"Analysis of factors that influence noise levels inside urban buses"|"Journal_0022-4456"|"69"|""|"684-687"|"2010"|"FOAFPerson_6754813859281072"
"FOAFGroup_DEVET_G"|"DEVET/G"|"FOAFPerson_8438508702664537"|"LUANA CELIA STUNITZ DA SILVA"|"http://lattes.cnpq.br/8438508702664537"|"FOAFGroup_DEVET_G"|"Journal_2177-0298"|"Journal of Morphological Sciences"|"2177-0298"|"BIBTEXArticle_Analysis_of_student_discipline_of_anatomy_to_the_practice_of_veterinary_medicine2177-02982011"|"Constantino,M.V.P., SILVA, Luana Célia Stunitz da, Lessa, T.B., Santos, P.R.S, Assis Neto, A.C., Bombonato, P.P., Ambrosio, C.E."|"Analysis of student discipline of anatomy to the practice of veterinary medicine"|"Journal_2177-0298"|"28Supl"|"Supl."|"16-16"|"2011"|"FOAFPerson_8438508702664537"
"FOAFGroup_DEADM_G"|"DEADM/G"|"FOAFPerson_5245546196615162"|"ELAINE MARIA DOS SANTOS"|"http://lattes.cnpq.br/5245546196615162"|"FOAFGroup_DEADM_G"|"Journal_0892-3647"|"The American Journal of Distance Education"|"0892-3647"|"BIBTEXArticle_Analysis_of_the_Methods_and_Research_Topics_in_a_Sample_of_the_Brazilian_Distance_Education_Publications,_1992_to_20070892-36472010"|"SANTOS, E. M., Santos, Elaine Maria dos"|"Analysis of the Methods and Research Topics in a Sample of the Brazilian Distance Education Publications, 1992 to 2007"|"Journal_0892-3647"|"24"|""|"119-134"|"2010"|"FOAFPerson_5245546196615162"
"FOAFGroup_DEBIO_G"|"DEBIO/G"|"FOAFPerson_2830201419839855"|"ANA LUCIA SURIANI AFFONSO"|"http://lattes.cnpq.br/2830201419839855"|"FOAFGroup_DEBIO_G"|"Journal_1808-0251"|"Ambiência (UNICENTRO)"|"1808-0251"|"BIBTEXArticle_Analysis_of_three_urban_green_areas_in_Guarapuava,_Paraná1808-02512014"|"COMUNE, MARIANE DAL, SURIANI-AFFONSO, ANA LUCIA"|"Analysis of three urban green areas in Guarapuava, Paraná"|"Journal_1808-0251"|"10"|"3"|"723-739"|"2014"|"FOAFPerson_2830201419839855"
"FOAFGroup_DEVET_G"|"DEVET/G"|"FOAFPerson_8438508702664537"|"LUANA CELIA STUNITZ DA SILVA"|"http://lattes.cnpq.br/8438508702664537"|"FOAFGroup_DEVET_G"|"Journal_0100-736X"|"Pesquisa Veterinária Brasileira (Impresso)"|"0100-736X"|"BIBTEXArticle_Anatomia_Ultrassonográfica_dos_linfonodos_abdominais_em_furões_europeus_hígidos0100-736X2011"|"Garcia, D.A.A., SILVA, Luana Célia Stunitz da, LANGE, R. R., FROES, T. R."|"Anatomia Ultrassonográfica dos linfonodos abdominais em furões europeus hígidos"|"Journal_0100-736X"|"31"|"12"|"1129-1132"|"2011"|"FOAFPerson_8438508702664537"
"FOAFGroup_DEVET_G"|"DEVET/G"|"FOAFPerson_3501830648806376"|"JAYME AUGUSTO PERES"|"http://lattes.cnpq.br/3501830648806376"|"FOAFGroup_DEVET_G"|"Journal_1679-7353"|"Revista Científica Eletrônica de Medicina Veterinária"|"1679-7353"|"BIBTEXArticle_Anencefalia_em_cão_-_Relato_de_Caso1679-73532012"|"DAHMER, D. A., CHIARENTIN, D., VOITENA, J. N., FREITAS, E. B., FILADELPHO, A. L., BIRCK, A. J., RAINERI NETO, R., PERES, J. A., BARCELOS, R. P."|"Anencefalia em cão - Relato de Caso"|"Journal_1679-7353"|"18"|""|"1-12"|"2012"|"FOAFPerson_3501830648806376"
"FOAFGroup_DEFAR_G"|"DEFAR/G"|"FOAFPerson_7239838542231670"|"JULIANA SARTORI BONINI"|"http://lattes.cnpq.br/7239838542231670"|"FOAFGroup_DEFAR_G"|"Journal_0033-3158"|"Psychopharmacologia (Heidelberg)"|"0033-3158"|"BIBTEXArticle_Angiotensin_II_blocks_memory_consolidation_through_an_AT20033-31582005"|"KERR, D. S., BEVILAQUA, L. R. M., BONINI, J. S.;Bonini, Juliana S.;Bonini, Juliana Sartori, ROSSATO, J. I., MEDINA, J. H., IZQUIERDO, I., CAMMAROTA, M."|"Angiotensin II blocks memory consolidation through an AT2"|"Journal_0033-3158"|"179"|""|"529-535"|"2005"|"FOAFPerson_7239838542231670"
"FOAFGroup_DEFAR_G"|"DEFAR/G"|"FOAFPerson_7239838542231670"|"JULIANA SARTORI BONINI"|"http://lattes.cnpq.br/7239838542231670"|"FOAFGroup_DEFAR_G"|"Journal_0018-506X"|"Hormones and Behavior (Print)"|"0018-506X"|"BIBTEXArticle_Angiotensin_II_disrupts_inhibitory_avoidance_memory_retrieval0018-506X2006"|"BONINI, J. S.;Bonini, Juliana S.;Bonini, Juliana Sartori, BEVILAQUA, L. R. M., ZINN, C. G., MEDINA, J. H., IZQUIERDO, I., CAMMAROTA, M."|"Angiotensin II disrupts inhibitory avoidance memory retrieval"|"Journal_0018-506X"|"50"|""|"308-313"|"2006"|"FOAFPerson_7239838542231670"
"FOAFGroup_DEDUF_I"|"DEDUF/I"|"FOAFPerson_2305518769010186"|"GILMAR DE CARVALHO CRUZ"|"http://lattes.cnpq.br/2305518769010186"|"FOAFGroup_DEDUF_I"|"Journal_1514-3465"|"Lecturas Educación Física y Deportes (Buenos Aires)"|"1514-3465"|"BIBTEXArticle_Angústias_educacionais_(compartilhadas_com_o_professor_Vitor_Marinho_de_Oliveira)1514-34652013"|"CRUZ, G. C."|"Angústias educacionais (compartilhadas com o professor Vitor Marinho de Oliveira)"|"Journal_1514-3465"|"18"|"185"|"5p-"|"2013"|"FOAFPerson_2305518769010186"
"FOAFGroup_DEDUF_G"|"DEDUF/G"|"FOAFPerson_6567883239960466"|"MARCOS ROBERTO QUEIROGA"|"http://lattes.cnpq.br/6567883239960466"|"FOAFGroup_DEDUF_G"|"Journal_1463-1741"|"Noise & Health"|"1463-1741"|"BIBTEXArticle_Annoyance_evaluation_and_the_effect_of_noise_on_the_health_of_bus_drivers1463-17412013"|"PORTELA, B. S., Queiroga, Marcos Roberto, CONSTANTINI, A., ZANNIN, P. H. T."|"Annoyance evaluation and the effect of noise on the health of bus drivers"|"Journal_1463-1741"|"15"|"66"|"301-"|"2013"|"FOAFPerson_6567883239960466"
"FOAFGroup_DEDUF_G"|"DEDUF/G"|"FOAFPerson_6754813859281072"|"BRUNO SERGIO PORTELA"|"http://lattes.cnpq.br/6754813859281072"|"FOAFGroup_DEDUF_G"|"Journal_1463-1741"|"Noise & Health"|"1463-1741"|"BIBTEXArticle_Annoyance_evaluation_and_the_effect_of_noise_on_the_health_of_bus_drivers1463-17412013"|"PORTELA, B. S., QUEIROGA, M. R., CONSTANTINI, A., ZANNIN, P. H. T."|"Annoyance evaluation and the effect of noise on the health of bus drivers"|"Journal_1463-1741"|"15"|"66"|"301-306"|"2013"|"FOAFPerson_6754813859281072"
"FOAFGroup_DEVET_G"|"DEVET/G"|"FOAFPerson_0567485166288187"|"MEIRE CHRISTINA SEKI"|"http://lattes.cnpq.br/0567485166288187"|"FOAFGroup_DEVET_G"|"Journal_1517-2570"|"UNOPAR Científica. Ciências Biológicas e da Saúde"|"1517-2570"|"BIBTEXArticle_Anomalia_de_Pelger_Huet_em_Animais_Domésticos:_uma_Revisão1517-25702011"|"Seki, M.C., Anai, L.A., ROSATO, P. N., Santana, A.E."|"Anomalia de Pelger Huet em Animais Domésticos: uma Revisão"|"Journal_1517-2570"|"13"|""|"343-347"|"2011"|"FOAFPerson_0567485166288187"
"FOAFGroup_DEPSI_I"|"DEPSI/I"|"FOAFPerson_9574204461034953"|"VERONICA SUZUKI KEMMELMEIER"|"http://lattes.cnpq.br/9574204461034953"|"FOAFGroup_DEPSI_I"|"Journal_0103-7013"|"Psicologia Argumento (PUCPR. Impresso)"|"0103-7013"|"BIBTEXArticle_Anorexia_e_bulimia_nervosa:_Percepção_e_atuação_do_psicólogo_clínico_de_orientação_psicanalítica0103-70132012"|"DIETRICH, S., KEMMELMEIER, V. S."|"Anorexia e bulimia nervosa: Percepção e atuação do psicólogo clínico de orientação psicanalítica"|"Journal_0103-7013"|"30"|""|"379-389"|"2012"|"FOAFPerson_9574204461034953"
"FOAFGroup_DEPED_G"|"DEPED/G"|"FOAFPerson_3593219512979230"|"DEBORA CECILIO FERNANDES"|"http://lattes.cnpq.br/3593219512979230"|"FOAFGroup_DEPED_G"|"Journal_0214-9877"|"INFAD (Barcelona)"|"0214-9877"|"BIBTEXArticle_Ansiedad_y_dificultades_escolares0214-98772014"|"FERNANDES, D. C., SISTO, F. F., Oliveira, S. M. S. S., CALIATTO, S. G."|"Ansiedad y dificultades escolares"|"Journal_0214-9877"|"5"|"1"|"433-442"|"2014"|"FOAFPerson_3593219512979230"
"FOAFGroup_DEDUF_G"|"DEDUF/G"|"FOAFPerson_7097732627026723"|"SCHELYNE RIBAS DA SILVA"|"http://lattes.cnpq.br/7097732627026723"|"FOAFGroup_DEDUF_G"|"Journal_1980-6574"|"Motriz : Revista de Educação Física (Online)"|"1980-6574"|"BIBTEXArticle_Ansiedade_e_desempenho:_um_estudo_com_uma_equipe_infantil_de_voleibol_feminino1980-65742010"|"Sonoo, C.N, GOMES, Anderson Luiz, DAMASCENO, Mara Laiz, SILVA, Schelyne Ribas da;SILVA, SCHELYNE RIBAS DA;SILVA, S.R, LIMANA, Mirieli Denardi"|"Ansiedade e desempenho: um estudo com uma equipe infantil de voleibol feminino"|"Journal_1980-6574"|"6"|"3"|"1-13"|"2010"|"FOAFPerson_7097732627026723"
"FOAFGroup_DENAM_I"|"DENAM/I"|"FOAFPerson_5446193587520573"|"ELYNTON ALVES DO NASCIMENTO"|"http://lattes.cnpq.br/5446193587520573"|"FOAFGroup_DENAM_I"|"Journal_0367-2530"|"Flora (Jena)"|"0367-2530"|"BIBTEXArticle_Ant_visitation_to_extrafloral_nectaries_decreases_herbivory_and_increases_fruit_set_in_Chamaecrista_debilis_(Fabaceae)_in_a_Neotropical_savanna.0367-25302010"|"NASCIMENTO, E. A.;Nascimento, Elynton Alves Do;do Nascimento, E. A., DEL-CLARO, Kleber"|"Ant visitation to extrafloral nectaries decreases herbivory and increases fruit set in Chamaecrista debilis (Fabaceae) in a Neotropical savanna."|"Journal_0367-2530"|"205"|"11"|"754-756"|"2010"|"FOAFPerson_5446193587520573"
"FOAFGroup_DEF_I"|"DEF/I"|"FOAFPerson_9237744351905960"|"FLÁVIO AUGUSTO DE OLIVEIRA GARCIA"|"http://lattes.cnpq.br/9237744351905960"|"FOAFGroup_DEF_I"|"Journal_1678-3921"|"Pesquisa Agropecuária Brasileira (Online)"|"1678-3921"|"BIBTEXArticle_Antagonismo_direto_e_biocontrole_da_podridão_mole_do_tomateiro_pelo_uso_de_procariotas1678-39212009"|"BARRA, V. R., ROMEIRO, Reginaldo da Silva, GARCIA, Flávio Augusto de Oliveira, MOURA, A. B., SILVA, H. S. A., MENDONÇA, H. L., VIEIRA, B. A. H."|"Antagonismo direto e biocontrole da podridão mole do tomateiro pelo uso de procariotas"|"Journal_1678-3921"|"44"|""|"327-330"|"2009"|"FOAFPerson_9237744351905960"
"FOAFGroup_DEF_I"|"DEF/I"|"FOAFPerson_9237744351905960"|"FLÁVIO AUGUSTO DE OLIVEIRA GARCIA"|"http://lattes.cnpq.br/9237744351905960"|"FOAFGroup_DEF_I"|"Journal_1516-358X"|"Cultivar Grandes Culturas"|"1516-358X"|"BIBTEXArticle_Antagonistas_bacterianos_à_mancha_angular_do_feijoeiro1516-358X2012"|"GARCIA, Flávio Augusto de Oliveira, ROMEIRO, Reginaldo da Silva"|"Antagonistas bacterianos à mancha angular do feijoeiro"|"Journal_1516-358X"|"161"|""|"16-"|"2012"|"FOAFPerson_9237744351905960"
"FOAFGroup_DESEC_G"|"DESEC/G"|"FOAFPerson_8011545854988446"|"MARLETE BEATRIZ MAÇANEIRO"|"http://lattes.cnpq.br/8011545854988446"|"FOAFGroup_DESEC_G"|"Journal_1676-045X"|"Revista Expectativa (Impresso)"|"1676-045X"|"BIBTEXArticle_Antecedentes,_Consequências_e_Desafios_da_Cientificidade_da_Área_de_Secretariado_Executivo1676-045X2011"|"MAÇANEIRO, M. B."|"Antecedentes, Consequências e Desafios da Cientificidade da Área de Secretariado Executivo"|"Journal_1676-045X"|"10"|"1"|"9-26"|"2011"|"FOAFPerson_8011545854988446"
"FOAFGroup_DEFAR_G"|"DEFAR/G"|"FOAFPerson_8578241611510102"|"NAJEH MAISSAR KHALIL"|"http://lattes.cnpq.br/8578241611510102"|"FOAFGroup_DEFAR_G"|"Journal_0367-326X"|"Fitoterapia"|"0367-326X"|"BIBTEXArticle_Anti-inflammatory_activity_and_acute_toxicity_of_the_Dodonaea_viscosa_leaves.0367-326X2006"|"KHALIL, Najeh Maissar;KHALIL, NAJEH MAISSAR, MANFRON, Melania Palermo, SPEROTTO, Joceana Soares"|"Anti-inflammatory activity and acute toxicity of the Dodonaea viscosa leaves."|"Journal_0367-326X"|"77"|""|"478-480"|"2006"|"FOAFPerson_8578241611510102"
"FOAFGroup_DEFAR_G"|"DEFAR/G"|"FOAFPerson_8578241611510102"|"NAJEH MAISSAR KHALIL"|"http://lattes.cnpq.br/8578241611510102"|"FOAFGroup_DEFAR_G"|"Journal_0326-2383"|"Acta Farmacéutica Bonaerense"|"0326-2383"|"BIBTEXArticle_Anti-inflammatory_activity_of_Sida_rhombifolia.0326-23832006"|"KHALIL, Najeh Maissar;KHALIL, NAJEH MAISSAR, MANFRON, Melania Palermo, SPEROTTO, Joceana Soares"|"Anti-inflammatory activity of Sida rhombifolia."|"Journal_0326-2383"|"25"|"2"|"260-261"|"2006"|"FOAFPerson_8578241611510102"
"FOAFGroup_DEQ_G"|"DEQ/G"|"FOAFPerson_9724560887352587"|"YOHANDRA REYES TORRES"|"http://lattes.cnpq.br/9724560887352587"|"FOAFGroup_DEQ_G"|"Journal_0103-5053"|"Journal of the Brazilian Chemical Society (Impresso)"|"0103-5053"|"BIBTEXArticle_Antibacterial_Modified_Diketopiperazines_from_two_Ascidians_of_the_Genus_Didemnum0103-50532009"|"KOSSUGA, M. H., BERLINCK, Roberto Gomes de Souza, LIRA, S. P., McHugh, S., TORRES, Y. R.;TORRES, YOHANDRA REYES;TORRES, YOHANDRA R.;Yohandra R. Torres;Torres, Y.R., Lima, B. A., Gonçalves, R., VELOSO, K., FERREIRA, Antonio Gilberto, ROCHA, Rosana Moreira da"|"Antibacterial Modified Diketopiperazines from two Ascidians of the Genus Didemnum"|"Journal_0103-5053"|"20"|"4"|"704-711"|"2009"|"FOAFPerson_9724560887352587"
"FOAFGroup_DEBIO_G"|"DEBIO/G"|"FOAFPerson_6488069929162509"|"MARIA LUISA TUNES BUSCHINI"|"http://lattes.cnpq.br/6488069929162509"|"FOAFGroup_DEBIO_G"|"Journal_0957-5235"|"Blood Coagulation & Fibrinolysis"|"0957-5235"|"BIBTEXArticle_Anticoagulant_and_fibrinogenolytic_properties_of_the_venom_of_Polybia_occidentalis_social_wasp0957-52352010"|"CZAIKOSKI, P. G., CUNHA, F. Q., MONTEIRO, M. C., Menaldo, D., Marcussi, S., BASEGGIO, A. L. C., Fuly, A.L., Paula, R.C., Quadros, A.U., ROMAO, P. R. T., BUSCHINI, M. L. T."|"Anticoagulant and fibrinogenolytic properties of the venom of Polybia occidentalis social wasp"|"Journal_0957-5235"|"21"|"7"|"653-659"|"2010"|"FOAFPerson_6488069929162509"
"FOAFGroup_DEQ_G"|"DEQ/G"|"FOAFPerson_9724560887352587"|"YOHANDRA REYES TORRES"|"http://lattes.cnpq.br/9724560887352587"|"FOAFGroup_DEQ_G"|"Journal_0944-7113"|"Phytomedicine (Stuttgart)"|"0944-7113"|"BIBTEXArticle_Antidepressant-_and_anxiolytic-like_activities_of_an_oil_extract_of_propolis_in_rats0944-71132014"|"REIS, JULIA S.S., OLIVEIRA, GEDEÃO B., MONTEIRO, MARTA C., MACHADO, CHRISTIANE S., TORRES, YOHANDRA R., PREDIGER, RUI D., MAIA, CRISTIANE S.F."|"Antidepressant- and anxiolytic-like activities of an oil extract of propolis in rats"|"Journal_0944-7113"|"21"|""|"1466-1472"|"2014"|"FOAFPerson_9724560887352587"
"FOAFGroup_DEFAR_G"|"DEFAR/G"|"FOAFPerson_3848961701101638"|"LEANDRO FREIRE DOS SANTOS"|"http://lattes.cnpq.br/3848961701101638"|"FOAFGroup_DEFAR_G"|"Journal_1516-8913"|"Brazilian Archives of Biology and Technology (Impresso)"|"1516-8913"|"BIBTEXArticle_Antidiabetic_activities_of_ethanol_extract_of_dry_matters_of_culture_broth_of_Coriolus_versiolor_in_submerged_culture1516-89132011"|"ZHANG, Z., FAN, Leifa, Guoying Lv, PAN, H., SANTOS, L. F., FAN, M., Soccol, C. R., Thomaz-Soccol, Vanete, LACERDA, Luiz Gustavo, FILHO, M. A. S. C."|"Antidiabetic activities of ethanol extract of dry matters of culture broth of Coriolus versiolor in submerged culture"|"Journal_1516-8913"|"54"|"4"|"701-708"|"2011"|"FOAFPerson_3848961701101638"
"FOAFGroup_DEQ_G"|"DEQ/G"|"FOAFPerson_3256907601004018"|"SUELI PÉRCIO"|"http://lattes.cnpq.br/3256907601004018"|"FOAFGroup_DEQ_G"|"Journal_0146-9428"|"Journal of Food Quality"|"0146-9428"|"BIBTEXArticle_Antifungal_Bioassay-Guided_Fractionation_of_an_Oil_Extract_of_Propolis0146-94282013"|"FINGER, D., MACHADO, C. S., TORRES, Y. R., QUINÁIA, S. P., EBERLIN, M. N., MONTEIRO, M. C."|"Antifungal Bioassay-Guided Fractionation of an Oil Extract of Propolis"|"Journal_0146-9428"|"36"|"5"|"291-301"|"2013"|"FOAFPerson_3256907601004018"
"FOAFGroup_DEQ_G"|"DEQ/G"|"FOAFPerson_3514908486120153"|"DAIANE FINGER"|"http://lattes.cnpq.br/3514908486120153"|"FOAFGroup_DEQ_G"|"Journal_0146-9428"|"Journal of Food Quality"|"0146-9428"|"BIBTEXArticle_Antifungal_Bioassay-Guided_Fractionation_of_an_Oil_Extract_of_Propolis0146-94282013"|"Finger, Daiane, EBERLIN, MARCOS NOGUEIRA, Machado, Christiane Schinieder, TORRES, YOHANDRA REYES, QUINÁIA, SUELI PERCIO, THOMAZ, AMANDA CRISTINA GODOT, GOBBO, ANGÉLICA RITA, MONTEIRO, MARTA CHAGAS, FERREIRA, ANTONIO GILBERTO, SAWAYA, ALEXANDRA CHRISTINE HELENA FRANKLAN"|"Antifungal Bioassay-Guided Fractionation of an Oil Extract of Propolis"|"Journal_0146-9428"|"36"|"5"|"n/a-n/a"|"2013"|"FOAFPerson_3514908486120153"
"FOAFGroup_DEBIO_G"|"DEBIO/G"|"FOAFPerson_7929101121975903"|"DANIEL BINI"|"http://lattes.cnpq.br/7929101121975903"|"FOAFGroup_DEBIO_G"|"Journal_0015-5632"|"Folia Microbiologica (Prague)"|"0015-5632"|"BIBTEXArticle_Antifungal_activity_of_some_cyclooxygenase_inhibitors_on_Candida_albicans:_PGE2-dependent_mechanism0015-56322011"|"Quadros, Andreza Urba, Bini, Daniel, MORONI, ESTELA GLÃ RIA, PEREIRA, Priscilla Aparecida Tartari, MONTEIRO, Marta Chagas"|"Antifungal activity of some cyclooxygenase inhibitors on Candida albicans: PGE2-dependent mechanism"|"Journal_0015-5632"|"56"|"4"|"349-352"|"2011"|"FOAFPerson_7929101121975903"
"FOAFGroup_DEFAR_G"|"DEFAR/G"|"FOAFPerson_2151715934354880"|"MARCOS ERENO AULER"|"http://lattes.cnpq.br/2151715934354880"|"FOAFGroup_DEFAR_G"|"Journal_1480-3275"|"Canadian Journal of Microbiology (Online)"|"1480-3275"|"BIBTEXArticle_Antifungal_susceptibility_of_bloodstream_yeasts_isolated_at_the_Public_Brazilian_Children_Hospital:_Comparison_of_the_Etest_and_the_AFST-EUCAST_microdilution_method.1480-32752007"|"MATSUMOTO, Flavia Emi, DIAS, Amanda L T, MELHEM, Marcia S C, SZESZS, M W, AULER, Marcos Ereno;AULER, MARCOS ERENO;AULER, M.E., RUIZ, Luciana Silva, SILVA, Erique Gonçalves da, GANDRA, Rinaldo Ferreira, PAULA, Claudete Rodrigues"|"Antifungal susceptibility of bloodstream yeasts isolated at the Public Brazilian Children Hospital: Comparison of the Etest and the AFST-EUCAST microdilution method."|"Journal_1480-3275"|"53"|"12"|"1300-1306"|"2007"|"FOAFPerson_2151715934354880"
"FOAFGroup_DEVET_G"|"DEVET/G"|"FOAFPerson_4132959285941439"|"LUCIA PADILHA CURY THOMAZ DE AQUINO"|"http://lattes.cnpq.br/4132959285941439"|"FOAFGroup_DEVET_G"|"Journal_0103-846X"|"Revista Brasileira de Parasitologia Veterinária (Impresso)"|"0103-846X"|"BIBTEXArticle_Antigenic_characterization_of_Trypanosoma_evansi_using_sera_from_experimentally_and_naturally_infected_bovines,_equines,_dogs,_and_coatis0103-846X2010"|"AQUINO, Lúcia Padilha Cury Thomaz de, MACHADO, R. Z., LEMOS, K. R., MARQUES, L. C., GARCIA, M. V., BORGES, G.P."|"Antigenic characterization of Trypanosoma evansi using sera from experimentally and naturally infected bovines, equines, dogs, and coatis"|"Journal_0103-846X"|"19"|"2"|"112-118"|"2010"|"FOAFPerson_4132959285941439"
"FOAFGroup_DEVET_G"|"DEVET/G"|"FOAFPerson_9352623956776923"|"INFORMAR NOME"|"http://lattes.cnpq.br/9352623956776923"|"FOAFGroup_DEVET_G"|"Journal_0103-846X"|"Revista Brasileira de Parasitologia Veterinária (Impresso)"|"0103-846X"|"BIBTEXArticle_Antigenic_characterization_of_Trypanossoma_evansi_using_sera_from_experimentally_and_naturally_infected_bovines,_equines,_dogs,_and_coatis0103-846X2010"|"AQUINO, L. P. C., MACHADO, R. Z., LEMOS, K. R., MARQUES, L. C., Garcia, M. V., Borges, G.P."|"Antigenic characterization of Trypanossoma evansi using sera from experimentally and naturally infected bovines, equines, dogs, and coatis"|"Journal_0103-846X"|"19"|"n.2"|"112-118"|"2010"|"FOAFPerson_9352623956776923"
"FOAFGroup_DEALI_G"|"DEALI/G"|"FOAFPerson_9218612065892041"|"CRISTINA MARIA ZANETTE"|"http://lattes.cnpq.br/9218612065892041"|"FOAFGroup_DEALI_G"|"Journal_0300-5755"|"Alimentaria (Madrid)"|"0300-5755"|"BIBTEXArticle_Antilisterial_activity_of_lactic_acid_bacteria_isolated_from_naturally_fermented_sausages0300-57552011"|"ZANETTE, C. M., DALLA SANTA, O. R., BERSOT, L. S."|"Antilisterial activity of lactic acid bacteria isolated from naturally fermented sausages"|"Journal_0300-5755"|"426"|""|"116-119"|"2011"|"FOAFPerson_9218612065892041"
